Archivo	Sheet	Columna	Nombre unificado	Acción
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	CURP / RFC	CURP / RFC	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Nr Referencia	Pago_Nr Referencia	Keep
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Código de autorización	Código de autorización	Keep
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Últimos 4 dígitos	Últimos 4 dígitos	Keep
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Número de cuotas	Número de cuotas	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Estado Pago	Estado Pago	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Nombre descuento	Nombre descuento	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Fecha de vencimiento	Pago_fecha_recepcion	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Mes de vencimiento	Mes de vencimiento	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Año de vencimiento	Año de vencimiento	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Generado	Generado	Drop
Movimiento.xlsx	Finanzas_PagosPacientesDetalleP	Costo de laboratorio	Costo de laboratorio	Drop
Sucursal.xlsx	Sucursal	Sucursal	Sucursal	Keep
Tabla_Procedimientos.xlsx	Hoja1	Nombre accion	ID_Procedimiento	Keep
Tabla_Procedimientos.xlsx	Hoja1	Categoría BI	Categoria_procedimiento	Keep
Tabla_Procedimientos.xlsx	Hoja1	Subcategoría	Subcategoria_procedimiento	Keep
Tabla_Procedimientos.xlsx	Hoja1	Procedimiento	Nombre_procedimiento	Keep
Tabla_Procedimientos.xlsx	Hoja1	Cantidad	Cantidad	Drop
Tabla_Procedimientos.xlsx	Hoja1	Auditadoría SF Ortodoncía	auditoria	Drop
Tabla_Procedimientos.xlsx	Hoja1	Auditadoría Dictamen 	auditoria	Drop
Tipos de pacientes.xlsx	Hoja1	Tipo Dentalink	Tipo Dentalink	Keep
Tipos de pacientes.xlsx	Hoja1	Paciente_Origen	Paciente_Origen	Keep
Lada.xlsx	Hoja1	Cel	Celular	Keep
Lada.xlsx	Hoja1	Largo	Largo	Drop
Lada.xlsx	Hoja1	Clave	Clave	Drop
Lada.xlsx	Hoja1	Ciudad	Ciudad	Keep
Medios_de_pago.xlsx	Hoja1	Medio de pago	Medio_de_pago_Key	Keep
Medios_de_pago.xlsx	Hoja1	Medio de pago PBI	Medio_de_pago	Keep
